"num","team","epa_rank","total_epa","norm_epa","unitless_epa","auto_epa","teleop_epa","endgame_epa","rp_1_epa","rp_2_epa","rp_3_epa","next_event_key","next_event_name","next_event_week","record","winrate"
"67","The HOT Team","43","81.6","1791","1866","17.7","53.4","10.4","0.47","0.62","0.5","N/A","N/A","N/A","51-7-0","0.879"
"9450","Velocity Raptors","44","81.4","1790","1865","18.9","52.4","10.2","0.54","0.37","0.64","2025cmptx","FIRST Championship","8","42-12-0","0.778"
"2607","The Fighting RoboVikings","45","81","1788","1862","19.2","50.1","11.7","0.4","0.36","0.48","N/A","N/A","N/A","46-8-0","0.852"
"3970","Duncan Dynamics","46","81","1787","1862","18.5","52.6","9.9","0.33","0.32","0.51","N/A","N/A","N/A","30-18-0","0.625"
"5468","Chaos Theory","47","80.8","1786","1861","19.3","50.5","11","0.49","0.5","0.76","2025cmptx","FIRST Championship","8","46-20-0","0.697"
"1768","Nashoba Robotics","48","80.7","1785","1860","19.1","53.5","8.1","0.51","0.65","0.53","2025cmptx","FIRST Championship","8","50-17-1","0.743"
"4270","Crusaders","49","80.6","1785","1859","17.7","52.2","10.7","0.46","0.5","0.59","2025cmptx","FIRST Championship","8","42-5-1","0.885"
"2200","BCR Blackout","50","80.2","1782","1857","23.7","55","1.5","0.66","0.62","-0.1","2025cmptx","FIRST Championship","8","36-12-0","0.750"
"3314","Mechanical Mustangs","51","80.1","1781","1856","19.8","47.7","12.6","0.7","0.12","0.63","2025cmptx","FIRST Championship","8","48-19-1","0.713"
"2230","General Angels","52","80.1","1781","1856","19.1","49.8","11.2","0.56","0.31","0.61","2025cmptx","FIRST Championship","8","35-14-0","0.714"
"2046","Bear Metal","53","79.8","1779","1854","17.7","52.9","9.2","0.61","0.46","0.37","N/A","N/A","N/A","47-20-1","0.699"
"4481","Team Rembrandts","54","79.2","1775","1849","19.8","50.1","9.3","0.51","0.13","0.41","2025cmptx","FIRST Championship","8","25-7-0","0.781"
"9496","LYNK","55","79","1775","1849","21.7","50.7","6.7","0.62","0.65","0.43","N/A","N/A","N/A","64-2-2","0.956"
"2337","EngiNERDs","56","79","1774","1848","21.9","48.7","8.3","0.57","0.64","0.43","2025cmptx","FIRST Championship","8","47-10-0","0.825"
"4391","BraveBots","57","78.9","1774","1848","15","54.2","9.7","0.67","0.7","0.73","N/A","N/A","N/A","45-9-0","0.833"
"5406","Celt-X","58","78.9","1774","1848","18","49.4","11.5","0.46","0.33","0.79","N/A","N/A","N/A","33-17-0","0.660"
"2054","Tech Vikes","59","78.6","1772","1846","24.2","45.1","9.3","0.49","0.38","0.53","N/A","N/A","N/A","55-16-0","0.775"
"195","CyberKnights","60","78.6","1772","1846","20.2","48.5","9.9","0.63","0.73","0.7","2025cmptx","FIRST Championship","8","39-10-0","0.796"
"4272","Maverick Robotics","61","78.5","1771","1845","18.8","49","10.8","0.51","0.47","0.71","2025cmptx","FIRST Championship","8","42-11-0","0.792"
"7407","Wired Boars","62","78.5","1771","1845","23.3","43.9","11.4","0.48","0.46","0.69","2025cmptx","FIRST Championship","8","44-10-0","0.815"
"2974","Walton Robotics","63","78.4","1770","1844","18.6","57","2.8","0.38","0.4","0.18","2025cmptx","FIRST Championship","8","43-10-0","0.811"
"1241","THEORY6","64","78.4","1770","1844","22","53.9","2.5","0.5","0.68","0.08","N/A","N/A","N/A","45-24-0","0.652"
